item-id,item-name,item-description,project-group,project-name,order,year-start,year-end,github-repo,github-oldcode,has-content,_db: access,_db: sql_server,_db: mysql,_db: mongodb,_ft: asp,_ft: aspnet,_ft: django,_ft: express,_ft: angular,_ft: slim,_ln: html,_ln: css,_ln: sass,_ln: python,_ln: java,_ln: php,_ln: bash,_ln: vbnet,_ln: c_sharp,_ln: sql,_ln: javascript,_ln: ruby,_ln: typescript,_ln: yaml,_ln: vbscript,_ln: vimscript,_ln: c,_ln: mumps
static_websites,Static websites,"In my web design days, I built a bunch of mostly static websites: university administrative and academic units, a performance arts center, national and regional conferences, and small businesses.",static,UNI Department of Computer Science,22,2006,2006,,,,,,,,,,,,,,1,1,,,,1,,,,,1,,,,,,,
static_websites,Static websites,"In my web design days, I built a bunch of mostly static websites: university administrative and academic units, a performance arts center, national and regional conferences, and small businesses.",static,PRSSA Assembly 2006,21,2005,2005,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,1,,,
static_websites,Static websites,"In my web design days, I built a bunch of mostly static websites: university administrative and academic units, a performance arts center, national and regional conferences, and small businesses.",static,PRSSA conference 2005,20,2005,2005,,,,,,,,1,,,,,,1,1,,,,,,,,,1,,,,1,,,
static_websites,Static websites,"In my web design days, I built a bunch of mostly static websites: university administrative and academic units, a performance arts center, national and regional conferences, and small businesses.",static,Gold Falls,19,2003,2003,,,,,,,,1,,,,,,1,1,,,,,,,,,1,,,,,,,
static_websites,Static websites,"In my web design days, I built a bunch of mostly static websites: university administrative and academic units, a performance arts center, national and regional conferences, and small businesses.",static,PRSSA conference 2003,18,2003,2003,,,,,,,,1,,,,,,1,1,,,,,,,,,1,,,,,,,
static_websites,Static websites,"In my web design days, I built a bunch of mostly static websites: university administrative and academic units, a performance arts center, national and regional conferences, and small businesses.",static,thetibetancollection.com,17,2003,2003,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,
static_websites,Static websites,"In my web design days, I built a bunch of mostly static websites: university administrative and academic units, a performance arts center, national and regional conferences, and small businesses.",static,UNI Graduate College v. 1,16,2001,2002,,,,,,,,1,,,,,,1,1,,,,,,,,,1,,,,,,,
static_websites,Static websites,"In my web design days, I built a bunch of mostly static websites: university administrative and academic units, a performance arts center, national and regional conferences, and small businesses.",static,UNI Study Abroad,15,2002,2002,,,,,,,,1,,,,,,1,1,,,,,,,,,1,,,,1,,,
static_websites,Static websites,"In my web design days, I built a bunch of mostly static websites: university administrative and academic units, a performance arts center, national and regional conferences, and small businesses.",static,"UNI Study Abroad, St.Petersburg",14,2002,2002,,,,,,,,1,,,,,,1,1,,,,,,,,,1,,,,,,,
static_websites,Static websites,"In my web design days, I built a bunch of mostly static websites: university administrative and academic units, a performance arts center, national and regional conferences, and small businesses.",static,Prahl Chiropractic,13,2001,2001,,,,,,,,1,,,,,,1,1,,,,,,,,,1,,,,,,,
static_websites,Static websites,"In my web design days, I built a bunch of mostly static websites: university administrative and academic units, a performance arts center, national and regional conferences, and small businesses.",static,PRSSA conference 2001,12,2001,2001,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,
static_websites,Static websites,"In my web design days, I built a bunch of mostly static websites: university administrative and academic units, a performance arts center, national and regional conferences, and small businesses.",static,Realm,11,2001,2001,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,
static_websites,Static websites,"In my web design days, I built a bunch of mostly static websites: university administrative and academic units, a performance arts center, national and regional conferences, and small businesses.",static,UNI Registrar ,10,2001,2001,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,
static_websites,Static websites,"In my web design days, I built a bunch of mostly static websites: university administrative and academic units, a performance arts center, national and regional conferences, and small businesses.",static,Up Til Dawn,9,2001,2001,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,
static_websites,Static websites,"In my web design days, I built a bunch of mostly static websites: university administrative and academic units, a performance arts center, national and regional conferences, and small businesses.",static,UNI Campus News Network,8,2000,2000,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
static_websites,Static websites,"In my web design days, I built a bunch of mostly static websites: university administrative and academic units, a performance arts center, national and regional conferences, and small businesses.",static,UNI Gallagher-Bluedorn Performing Arts Center,7,2000,2000,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,
static_websites,Static websites,"In my web design days, I built a bunch of mostly static websites: university administrative and academic units, a performance arts center, national and regional conferences, and small businesses.",static,PRSSA conference 2000,6,1999,2000,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,
static_websites,Static websites,"In my web design days, I built a bunch of mostly static websites: university administrative and academic units, a performance arts center, national and regional conferences, and small businesses.",static,UNI PRogressor,5,1999,1999,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
static_websites,Static websites,"In my web design days, I built a bunch of mostly static websites: university administrative and academic units, a performance arts center, national and regional conferences, and small businesses.",static,UNI Chapter of PRSSA,4,1999,1999,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,
static_websites,Static websites,"In my web design days, I built a bunch of mostly static websites: university administrative and academic units, a performance arts center, national and regional conferences, and small businesses.",static,UNI Department of Communication,3,1999,2000,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
static_websites,Static websites,"In my web design days, I built a bunch of mostly static websites: university administrative and academic units, a performance arts center, national and regional conferences, and small businesses.",static,Neon Advertising,2,1999,1999,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
static_websites,Static websites,"In my web design days, I built a bunch of mostly static websites: university administrative and academic units, a performance arts center, national and regional conferences, and small businesses.",static,"College of Journalism, St.Petersburg University",1,1999,1999,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
